player_id,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
110,2010,1.6,2.4,3.9,1.2,2.4,1.7,1.4,1.8,0.2
111,2010,0.7,0.1,0.9,1.0,0.0,0.7,0.0,0.0,0.1
112,2010,0.8,3.5,4.3,1.8,2.1,2.8,0.8,1.5,0.5
113,2010,0.9,2.1,3.1,1.8,0.4,1.1,0.3,0.4,0.2
114,2010,1.7,2.4,4.1,2.2,1.1,1.5,0.8,0.7,0.1
115,2010,1.3,2.7,4.0,2.9,2.1,3.7,0.6,2.4,0.6
116,2010,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0
117,2010,0.5,0.7,1.2,0.7,0.1,0.6,0.1,0.0,0.0
118,2010,0.5,1.6,2.1,2.3,0.9,2.1,0.4,0.8,0.2
119,2010,1.3,1.6,2.9,2.2,0.2,0.7,0.3,0.5,0.0
120,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
121,2010,0.6,1.1,1.7,1.5,0.9,1.6,0.6,0.8,0.1
122,2010,2.8,3.8,6.6,3.9,0.7,2.4,0.3,1.1,0.3
123,2010,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
124,2010,2.1,4.0,6.1,3.2,0.9,4.2,0.2,1.3,0.1
125,2010,2.1,5.1,7.1,1.1,2.6,3.1,0.8,1.4,0.1
126,2010,1.2,1.5,2.7,1.3,1.7,1.6,1.1,1.1,0.1
127,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2010,1.3,2.4,3.6,0.7,0.8,1.3,0.6,0.6,0.0
129,2010,0.8,1.3,2.2,1.7,0.8,1.0,0.8,0.5,0.3
130,2010,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
131,2010,1.5,2.3,3.8,1.3,0.6,2.1,0.3,1.6,0.2
132,2010,0.5,1.3,1.8,1.2,1.3,1.8,0.8,0.6,0.0
133,2010,0.4,4.3,4.7,1.9,1.7,2.6,0.7,1.0,0.9
134,2010,0.1,0.8,0.9,1.2,0.8,0.8,1.0,0.5,0.0
135,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2010,3.3,5.9,9.1,1.4,1.9,4.8,0.4,1.3,1.6
137,2010,1.6,1.7,3.3,1.7,0.3,1.9,0.2,0.6,0.2
138,2010,0.3,0.6,0.9,0.6,0.2,0.9,0.2,0.2,0.0
139,2010,0.4,0.7,1.1,0.5,0.4,0.8,0.5,0.1,0.3
140,2010,0.9,3.5,4.4,1.9,2.3,3.1,0.7,1.6,0.2
141,2010,0.6,2.5,3.1,1.4,0.7,1.3,0.6,0.4,0.6
142,2010,2.4,5.1,7.4,2.9,1.0,1.9,0.5,1.1,1.3
143,2010,0.0,0.0,0.0,0.5,0.5,0.8,0.7,0.5,0.0
144,2010,1.2,2.8,4.0,1.7,1.9,2.4,0.8,0.9,0.2
145,2010,1.2,3.3,4.4,2.4,1.6,1.8,0.9,2.3,0.3
146,2010,0.4,1.7,2.1,1.8,1.6,2.6,0.6,1.6,0.1
147,2010,2.9,4.8,7.8,2.1,1.6,2.3,0.7,1.0,0.2
148,2010,0.0,0.5,0.5,0.8,0.1,0.5,0.3,0.1,0.0
149,2010,0.8,2.9,3.7,1.4,1.3,1.9,0.7,1.1,0.1
150,2010,0.1,0.6,0.7,0.9,0.4,0.8,0.5,0.2,0.0
151,2010,0.3,0.3,0.6,1.3,0.3,0.7,0.5,0.4,0.1
152,2010,0.5,1.6,2.1,2.3,0.4,1.1,0.3,0.2,0.3
153,2010,0.0,0.3,0.3,0.0,0.2,0.3,0.5,0.0,0.0
154,2010,2.0,2.3,4.3,1.8,1.6,1.6,1.0,0.9,0.1
155,2010,0.7,0.7,1.3,2.0,0.0,0.3,0.0,0.0,0.3
156,2010,1.7,1.8,3.5,1.5,0.9,1.2,0.8,0.8,0.3
157,2010,0.9,1.9,2.9,1.7,0.4,1.3,0.3,0.8,0.1
158,2010,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
159,2010,0.1,1.3,1.4,0.7,0.1,0.4,0.3,0.4,0.3
160,2010,0.9,2.1,3.1,2.3,1.3,2.3,0.6,1.2,0.2
161,2010,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
162,2010,0.8,1.3,2.1,1.9,0.7,0.9,0.8,0.6,0.2
163,2010,0.4,0.3,0.6,0.3,0.0,0.9,0.0,0.1,0.0
164,2010,0.5,1.9,2.4,1.7,1.0,1.9,0.5,0.9,0.0
165,2010,0.4,0.8,1.2,0.6,0.1,0.4,0.2,0.0,0.0
166,2010,0.5,0.2,0.7,0.6,0.5,0.4,1.4,0.2,0.0
167,2010,2.3,1.8,4.0,2.8,1.4,1.9,0.7,1.3,0.0
168,2010,1.4,2.7,4.1,2.2,0.7,1.9,0.4,0.4,0.4
169,2010,0.4,2.5,2.9,2.3,2.3,2.1,1.1,1.4,0.1
170,2010,1.8,3.1,4.8,3.1,2.6,2.9,0.9,1.8,0.3
171,2010,2.1,6.1,8.1,2.3,1.3,2.3,0.5,1.3,0.3
172,2010,0.3,0.3,0.6,0.4,0.2,0.6,0.4,0.0,0.0
173,2010,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2010,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0
175,2010,1.0,1.0,2.0,1.7,0.3,0.9,0.3,0.9,0.0
176,2010,1.6,3.6,5.3,1.7,1.6,2.4,0.7,1.6,0.1
177,2010,0.5,0.5,1.1,1.2,0.3,0.6,0.5,0.1,0.1
178,2010,1.3,1.7,3.0,2.0,1.8,1.4,1.3,2.0,0.1
179,2010,1.4,1.6,3.0,1.9,2.3,2.1,1.1,2.5,0.1
180,2010,1.0,3.4,4.4,3.4,2.3,1.9,1.2,2.2,0.3
181,2010,0.7,2.4,3.1,2.1,3.5,1.7,2.1,1.5,0.1
182,2010,2.0,2.1,4.1,3.0,1.8,1.8,1.0,2.2,0.4
183,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2010,2.3,3.1,5.4,1.1,1.5,1.5,1.0,1.5,0.5
185,2010,0.9,1.1,2.0,1.9,1.1,1.1,0.9,1.9,0.1
186,2010,0.2,0.6,0.8,0.7,0.2,0.4,0.5,0.3,0.1
187,2010,0.7,2.8,3.5,1.7,3.3,2.2,1.5,2.5,0.3
188,2010,0.4,1.1,1.5,1.8,0.8,0.5,1.6,0.4,0.1
189,2010,1.2,2.9,4.0,2.2,1.8,2.1,0.9,0.8,0.1
190,2010,1.3,0.5,1.8,1.8,0.3,1.0,0.3,0.8,0.0
191,2010,1.3,3.0,4.3,1.6,1.0,1.5,0.7,0.5,0.1
192,2010,2.5,3.0,5.5,2.7,1.1,1.7,0.7,1.5,0.1
193,2010,3.3,2.6,5.9,2.0,0.9,1.4,0.7,0.5,0.2
194,2010,0.3,1.2,1.5,0.9,1.4,0.8,1.7,0.4,0.0
195,2010,0.5,1.6,2.1,1.4,0.7,1.3,0.5,0.6,0.0
196,2010,1.2,1.7,2.9,1.3,0.3,0.4,0.7,0.4,0.7
197,2010,2.7,4.3,7.0,3.0,1.1,1.5,0.7,0.5,0.5
198,2010,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
199,2010,0.1,1.8,1.9,0.8,0.3,1.4,0.2,0.5,0.1
200,2010,0.2,1.6,1.8,2.1,1.2,4.0,0.3,0.7,0.0
201,2010,1.0,3.1,4.1,2.0,1.3,2.3,0.6,1.1,0.3
202,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,2010,1.6,1.6,3.2,1.2,1.0,2.7,0.4,0.6,0.2
204,2010,0.4,0.6,0.9,0.3,0.4,0.7,0.6,0.3,0.0
205,2010,2.1,3.4,5.5,2.8,1.0,3.2,0.3,1.0,0.3
206,2010,1.2,2.5,3.6,1.8,1.4,1.8,0.8,0.8,0.1
207,2010,2.0,2.8,4.9,2.2,1.0,2.1,0.5,0.5,0.8
208,2010,3.3,6.0,9.3,2.1,1.4,2.5,0.6,0.8,1.4
209,2010,0.9,3.5,4.4,2.0,0.6,2.3,0.3,0.9,0.3
210,2010,0.5,1.5,2.0,1.5,3.4,2.2,1.5,1.9,0.0
211,2010,2.3,2.2,4.5,2.3,0.7,2.0,0.4,0.7,0.2
212,2010,0.5,3.2,3.6,1.6,4.4,2.8,1.6,2.1,0.0
213,2010,1.0,0.8,1.9,1.1,1.5,1.6,0.9,0.5,0.0
214,2010,0.4,0.0,0.4,1.6,0.8,0.2,4.0,0.4,0.0
215,2010,0.4,2.1,2.5,1.9,1.9,2.1,0.9,1.7,0.0
216,2010,0.3,0.9,1.1,1.1,0.2,0.5,0.4,0.6,0.1
217,2010,0.9,3.4,4.3,2.3,1.0,1.6,0.6,1.3,0.6
218,2010,0.7,0.9,1.6,0.9,0.4,0.6,0.6,0.5,0.3
219,2010,1.0,1.0,2.0,0.5,0.8,1.1,0.8,0.5,0.0
220,2010,1.6,2.5,4.0,4.0,0.5,2.5,0.2,0.5,0.4
221,2010,3.9,6.0,9.9,3.3,0.7,2.2,0.3,0.9,0.3
222,2010,1.1,5.9,7.0,3.0,3.5,3.3,1.1,2.5,0.5
223,2010,0.3,0.9,1.2,0.5,1.2,1.0,1.2,0.5,0.0
224,2010,0.2,0.9,1.2,0.6,0.5,0.9,0.5,0.2,0.0
225,2010,0.1,0.5,0.6,0.5,0.1,0.4,0.3,0.0,0.0
226,2010,0.6,2.6,3.2,2.0,1.2,2.2,0.6,0.9,0.1
227,2010,0.1,0.9,1.1,0.9,0.3,0.7,0.4,0.5,0.0
228,2010,0.5,1.7,2.2,1.0,1.3,2.9,0.4,0.5,0.1
229,2010,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
230,2010,1.4,4.1,5.5,1.9,2.1,2.1,1.0,0.8,0.2
231,2010,1.1,1.9,3.0,1.3,0.2,1.2,0.2,0.2,0.6
232,2010,2.6,4.7,7.3,2.0,0.7,3.2,0.2,0.5,0.2
233,2010,3.8,6.9,10.7,3.3,1.4,3.4,0.4,0.7,1.1
234,2010,0.5,0.8,1.3,1.4,0.1,0.6,0.2,0.2,0.0
235,2010,0.4,0.7,1.1,1.2,1.0,1.3,0.8,0.7,0.0
236,2010,1.2,1.6,2.8,1.5,1.5,1.9,0.8,1.3,0.0
237,2010,0.2,1.2,1.4,0.8,1.0,1.0,1.0,0.3,0.0
238,2010,0.8,1.7,2.5,2.0,1.5,1.7,0.9,1.1,0.0
239,2010,2.2,3.9,6.1,3.4,2.3,3.7,0.6,2.9,0.3
240,2010,0.4,1.3,1.7,0.9,1.2,1.6,0.8,0.5,0.1
241,2010,0.8,1.9,2.7,1.9,0.6,1.1,0.5,0.4,0.0
242,2010,0.5,1.5,2.0,0.9,0.9,0.8,1.1,0.7,0.0
243,2010,0.9,1.8,2.7,2.0,0.9,1.6,0.6,1.0,0.0
244,2010,0.7,0.5,1.3,0.5,0.0,0.1,0.0,0.2,0.2
245,2010,3.5,3.8,7.3,1.4,1.5,2.7,0.6,1.0,0.5
246,2010,1.7,3.4,5.2,1.8,0.7,2.3,0.3,0.8,0.6
247,2010,1.3,1.9,3.1,2.4,2.6,1.8,1.4,2.1,0.1
248,2010,0.7,1.5,2.1,1.4,0.8,1.6,0.5,0.4,0.0
249,2010,0.5,1.3,1.8,1.5,0.6,1.2,0.5,0.6,0.0
250,2010,0.3,0.9,1.2,1.4,0.4,1.0,0.4,0.7,0.3
251,2010,1.5,2.5,4.0,2.0,0.7,1.4,0.5,0.7,0.5
252,2010,0.5,0.4,0.9,0.8,0.1,0.5,0.2,0.0,0.0
253,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,2010,0.7,3.5,4.2,2.8,7.2,4.2,1.7,1.9,0.1
255,2010,1.5,4.4,5.9,2.3,1.1,1.1,1.0,0.7,0.7
256,2010,1.1,1.8,2.9,2.3,1.9,1.9,1.0,0.8,0.1
257,2010,2.4,3.7,6.1,3.0,1.1,3.0,0.4,1.4,0.7
258,2010,1.2,3.9,5.1,1.8,1.0,1.9,0.5,1.0,0.6
259,2010,0.9,1.6,2.5,0.8,1.7,1.2,1.4,1.6,0.2
260,2010,0.6,1.2,1.8,1.3,1.7,1.5,1.1,1.1,0.0
261,2010,0.8,2.0,2.9,2.0,2.0,1.3,1.6,0.6,0.0
262,2010,1.3,2.9,4.1,2.2,1.9,2.0,1.0,1.5,0.0
263,2010,0.9,1.3,2.2,1.6,0.6,1.2,0.5,0.4,0.1
264,2010,1.1,1.0,2.1,2.1,0.2,0.8,0.2,0.6,0.3
265,2010,0.5,0.8,1.3,0.9,0.4,0.8,0.5,0.2,0.1
266,2010,1.0,2.6,3.6,2.0,0.7,1.3,0.5,0.8,0.2
267,2010,0.0,0.3,0.3,1.3,0.3,0.3,1.0,0.3,0.0
268,2010,0.9,0.6,1.5,1.1,0.5,0.7,0.7,0.5,0.1
269,2010,0.5,1.1,1.6,2.4,1.2,1.2,1.0,0.6,0.0
270,2010,1.1,1.3,2.4,1.2,0.5,1.1,0.5,0.3,0.3
271,2010,4.7,6.0,10.8,3.3,2.5,3.5,0.7,2.4,1.5
272,2010,0.9,0.9,1.7,2.3,0.5,1.0,0.5,0.3,0.0
273,2010,0.3,1.2,1.5,2.0,1.2,1.9,0.7,0.5,0.0
274,2010,0.1,0.0,0.1,0.3,0.1,0.4,0.3,0.4,0.1
275,2010,0.2,2.2,2.4,2.3,1.9,2.9,0.7,1.2,0.0
276,2010,1.2,2.9,4.0,1.3,1.4,2.2,0.6,0.9,0.0
277,2010,1.5,1.0,2.5,1.4,0.5,1.3,0.4,0.2,0.1
278,2010,2.0,3.3,5.2,2.1,1.2,1.7,0.7,0.8,0.2
279,2010,0.3,0.9,1.1,0.5,0.1,0.2,0.3,0.3,0.1
280,2010,1.9,5.2,7.1,2.7,0.9,2.7,0.3,1.3,0.4
281,2010,1.1,1.6,2.7,1.9,0.3,1.3,0.2,0.1,0.6
282,2010,2.0,3.8,5.9,2.6,0.7,1.6,0.4,1.0,0.3
283,2010,0.4,0.4,0.8,0.6,0.2,0.4,0.5,0.2,0.0
284,2010,2.0,2.9,5.0,3.5,1.9,3.2,0.6,1.0,0.1
285,2010,2.1,3.1,5.2,2.4,3.3,2.1,1.6,2.7,0.2
286,2010,1.3,2.2,3.5,2.5,1.9,3.6,0.5,2.0,0.0
287,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2010,0.5,1.9,2.5,1.0,0.8,1.7,0.5,0.4,0.0
289,2010,0.0,0.4,0.4,0.3,0.4,0.0,0.0,0.3,0.0
290,2010,0.7,1.1,1.7,0.4,0.3,0.6,0.5,0.2,0.0
291,2010,0.8,2.9,3.7,2.3,2.1,2.5,0.8,2.0,0.1
292,2010,0.8,1.3,2.0,2.5,0.7,1.4,0.5,0.8,0.2
293,2010,0.8,0.5,1.3,0.9,0.3,0.5,0.5,0.2,0.0
294,2010,1.6,2.7,4.3,2.7,1.1,1.2,0.9,1.4,0.1
295,2010,0.5,1.2,1.7,0.7,0.1,0.8,0.1,0.4,0.1
296,2010,4.2,5.1,9.3,3.1,0.3,1.6,0.2,0.8,0.2
297,2010,2.0,1.5,3.5,1.3,0.4,1.0,0.4,0.5,0.1
298,2010,1.4,2.4,3.7,1.3,2.1,1.9,1.1,2.2,0.3
299,2010,0.6,0.9,1.6,0.7,0.9,1.8,0.5,0.6,0.1
300,2010,0.5,1.0,1.5,1.1,2.0,1.5,1.4,0.6,0.1
301,2010,2.0,2.4,4.4,2.8,3.1,2.9,1.1,1.6,0.1
302,2010,1.5,2.1,3.6,2.5,1.0,0.9,1.1,1.0,0.4
303,2010,0.5,0.6,1.1,0.8,0.2,0.5,0.5,0.3,0.2
304,2010,1.1,1.6,2.7,0.8,0.6,1.1,0.5,0.4,0.1
305,2010,0.9,1.0,1.9,2.3,0.4,1.7,0.2,0.3,0.1
306,2010,0.9,0.9,1.8,0.2,0.5,1.1,0.4,0.7,0.1
307,2010,0.6,0.6,1.2,0.4,0.4,0.8,0.5,0.6,0.0
308,2010,1.4,2.4,3.7,1.9,0.4,1.0,0.4,0.7,0.6
309,2010,0.7,2.2,2.9,2.4,0.9,2.1,0.4,1.1,0.2
310,2010,3.5,7.5,11.0,3.1,1.6,3.8,0.4,2.4,0.8
311,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2010,1.2,2.6,3.8,1.7,1.9,2.2,0.8,0.9,0.1
313,2010,1.3,3.4,4.6,3.1,1.4,3.2,0.4,1.7,0.0
314,2010,0.1,0.2,0.3,0.2,0.2,0.5,0.3,0.4,0.1
315,2010,1.5,2.5,4.0,1.3,1.0,2.5,0.4,1.2,0.0
316,2010,0.4,0.5,0.9,0.2,0.1,0.6,0.2,0.1,0.0
317,2010,0.7,3.6,4.3,2.5,1.9,3.2,0.6,1.1,0.5
318,2010,0.6,0.7,1.3,1.5,0.4,1.1,0.4,0.6,0.1
319,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,2010,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
321,2010,0.6,1.8,2.4,1.7,1.8,2.0,0.9,1.5,0.1
322,2010,2.9,4.7,7.6,2.2,0.8,2.9,0.3,0.9,0.5
323,2010,0.9,1.8,2.7,1.7,0.4,2.8,0.2,0.6,0.0
324,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,2010,0.4,1.2,1.6,1.1,0.9,1.5,0.6,0.3,0.1
326,2010,1.2,2.9,4.1,2.3,0.5,2.5,0.2,0.4,0.5
327,2010,2.0,4.6,6.6,3.2,0.9,2.7,0.3,0.7,0.3
328,2010,1.9,1.4,3.3,1.7,0.6,1.2,0.5,0.3,0.1
329,2010,0.9,2.2,3.0,2.0,1.0,1.6,0.6,0.5,0.0
330,2010,1.5,2.0,3.5,1.7,3.4,2.4,1.4,0.9,0.1
331,2010,1.4,4.4,5.8,1.6,1.0,1.3,0.8,0.9,0.5
332,2010,1.9,3.6,5.5,1.8,1.5,3.2,0.5,1.1,0.7
333,2010,1.0,3.4,4.4,1.4,1.7,2.6,0.7,1.6,0.1
334,2010,1.1,3.2,4.3,2.1,3.2,2.4,1.3,2.0,0.0
335,2010,0.8,2.5,3.2,1.9,2.4,1.9,1.2,1.0,0.3
336,2010,0.3,0.3,0.6,1.1,0.6,0.1,3.7,0.3,0.1
337,2010,0.3,0.0,0.3,0.8,0.0,0.8,0.0,0.0,0.0
